 650 ( 28A): DailyChallengeMissionType
 651 ( 28B): Rarity
 652 ( 28C): LegendsCount
 653 ( 28D): HighestGloryLegend
 654 ( 28E): Accolades
 655 ( 28F): Legends
 656 ( 290): HighestGloryScore
 657 ( 291): DailyChallengeName
 658 ( 292): DailyChallengeLeaderboard
 659 ( 293): DailyChallengeDifficulty
 660 ( 294): DailyChallengeArmour
 661 ( 295): DailyChallengeShields
 662 ( 296): DailyChallengePractice
 663 ( 297): TraitCount
 664 ( 298): Traits
 665 ( 299): Money
 666 ( 29A): MoneyFromEconomy
 667 ( 29B): SpecialPodType
 668 ( 29C): SpecialPods
 669 ( 29D): DeathZoomTimeRemaining
 670 ( 29E): DeathZoomTime
 671 ( 29F): SecondsToShowUpdateFor
 672 ( 2A0): Generated
 673 ( 2A1): Name
 674 ( 2A2): Surname
 675 ( 2A3): WorkshopChar
 676 ( 2A4): OriginalFactionIndex
 677 ( 2A5): GloryScrollY
 678 ( 2A6): GloryMaxScroll
 679 ( 2A7): NextTop
 680 ( 2A8): LeaderboardMode
 681 ( 2A9): Title
 682 ( 2AA): GloryLeaderboardDetails
 683 ( 2AB): LegendsMaxScroll
 684 ( 2AC): LeaderboardMaxScroll
 685 ( 2AD): HighestGloryAccolade
 686 ( 2AE): HighestGloryMission
 687 ( 2AF): HighestGloryMissionClause
 688 ( 2B0): FailedChecksum
 689 ( 2B1): ContainerLeft
 690 ( 2B2): ContainerTop
 691 ( 2B3): ContainerRight
 692 ( 2B4): ContainerBottom
 693 ( 2B5): LegendsScrollY
 694 ( 2B6): LiberatingStation
 695 ( 2B7): ReadMode
 696 ( 2B8): PrimaryItem
 697 ( 2B9): SecondaryItem
 698 ( 2BA): Skin
 699 ( 2BB): Head
 700 ( 2BC): IsSkeleton
 701 ( 2BD): OriginalOwner
 702 ( 2BE): CapturedByFactionIndex
 703 ( 2BF): Forename
 704 ( 2C0): BleedOutTime
 705 ( 2C1): SecondsUntilBleedOut
